variable,equipment_id,equipment_type,physical_quantity,role,unit,controllable,lower_limit,upper_limit,warning_lower_limit,warning_upper_limit,source,sources,effect_targets
T_006:SNQ,T_006,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
T_007:SNQ,T_007,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
N_001_v000,N_001,node,pressure,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
N_002_v000,N_002,node,pressure,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
N_003_v000,N_003,node,pressure,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
P_001_v000,P_001,pipeline_segment,pressure,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
P_001_v001,P_001,pipeline_segment,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
P_002_v000,P_002,pipeline_segment,pressure,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
P_002_v001,P_002,pipeline_segment,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_001_v000,B_001,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_001_v001,B_001,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_015_v000,B_015,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_015_v001,B_015,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_120_v000,B_120,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_120_v001,B_120,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_198_v000,B_198,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_198_v001,B_198,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_233_v000,B_233,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_233_v001,B_233,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_273_v000,B_273,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_273_v001,B_273,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_286_v000,B_286,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_286_v001,B_286,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_302_v000,B_302,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_302_v001,B_302,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_317_v000,B_317,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_317_v001,B_317,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_329_v000,B_329,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_329_v001,B_329,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
B_341_v000,B_341,ball_valve,valve_opening,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
B_341_v001,B_341,ball_valve,flow,output,p.u.,False,-3.0,3.0,-2.2,2.2,synthetic_derived_state,,
H_001_v000,H_001,pipeline_segment,linepack,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
H_002_v000,H_002,pipeline_segment,linepack,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_001_v000,C_001,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_001_v001,C_001,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_001_v002,C_001,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_001_v000,TE_001,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_002_v000,C_002,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_002_v001,C_002,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_002_v002,C_002,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_002_v000,TE_002,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_005_v000,C_005,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_005_v001,C_005,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_005_v002,C_005,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_005_v000,TE_005,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_008_v000,C_008,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_008_v001,C_008,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_008_v002,C_008,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_008_v000,TE_008,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_014_v000,C_014,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_014_v001,C_014,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_014_v002,C_014,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_014_v000,TE_014,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_016_v000,C_016,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_016_v001,C_016,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_016_v002,C_016,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_016_v000,TE_016,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_017_v000,C_017,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_017_v001,C_017,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_017_v002,C_017,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_017_v000,TE_017,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_019_v000,C_019,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_019_v001,C_019,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_019_v002,C_019,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_019_v000,TE_019,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_021_v000,C_021,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_021_v001,C_021,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_021_v002,C_021,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_021_v000,TE_021,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_022_v000,C_022,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_022_v001,C_022,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_022_v002,C_022,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_022_v000,TE_022,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
C_023_v000,C_023,compressor,compressor_load,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_023_v001,C_023,compressor,compression_ratio,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
C_023_v002,C_023,compressor,rotational_speed,output,p.u.,False,-2.0,2.0,-1.2,1.2,synthetic_derived_state,,
TE_023_v000,TE_023,compressor_power,power,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_001_v000,R_001,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_004_v000,R_004,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_005_v000,R_005,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_006_v000,R_006,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_007_v000,R_007,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_008_v000,R_008,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
R_010_v000,R_010,pressure_regulator,regulator_range,output,p.u.,False,-3.0,3.0,-2.5,2.5,synthetic_derived_state,,
