variable_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
59,B_120_v000,B_120:FR,B_120_v001,P_001_v000,P_001_v001,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000,B_120_v000
60,B_120_v001,B_120:FR,B_120_v000,P_001_v000,P_001_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001,B_120_v001
61,B_198_v000,B_198:FR,B_198_v001,P_002_v000,P_002_v001,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000,B_198_v000
62,B_198_v001,B_198:FR,B_198_v000,P_002_v000,P_002_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001,B_198_v001
63,B_233_v000,B_233:FR,B_233_v001,P_001_v000,P_001_v001,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000,B_233_v000
64,B_233_v001,B_233:FR,B_233_v000,P_001_v000,P_001_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001,B_233_v001
65,B_273_v000,B_273:FR,B_273_v001,P_002_v000,P_002_v001,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000,B_273_v000
66,B_273_v001,B_273:FR,B_273_v000,P_002_v000,P_002_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001,B_273_v001
67,B_286_v000,B_286:FR,B_286_v001,P_001_v000,P_001_v001,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000,B_286_v000
68,B_286_v001,B_286:FR,B_286_v000,P_001_v000,P_001_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001,B_286_v001
69,B_302_v000,B_302:FR,B_302_v001,P_002_v000,P_002_v001,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000,B_302_v000
70,B_302_v001,B_302:FR,B_302_v000,P_002_v000,P_002_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001,B_302_v001
71,B_317_v000,B_317:FR,B_317_v001,P_001_v000,P_001_v001,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000,B_317_v000
72,B_317_v001,B_317:FR,B_317_v000,P_001_v000,P_001_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001,B_317_v001
73,B_329_v000,B_329:FR,B_329_v001,P_002_v000,P_002_v001,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000,B_329_v000
74,B_329_v001,B_329:FR,B_329_v000,P_002_v000,P_002_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001,B_329_v001
75,B_341_v000,B_341:FR,B_341_v001,P_001_v000,P_001_v001,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000,B_341_v000
76,B_341_v001,B_341:FR,B_341_v000,P_001_v000,P_001_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001,B_341_v001
77,H_001_v000,C_001:SP_,C_005:SP_,C_014:SP_out,C_017:ST,C_021:SP_out,C_023:SP_out,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_005:SP,T_007:SNQ,P_001_v000,P_001_v001,H_001_v000,H_001_v000,H_001_v000,H_001_v000,H_001_v000,H_001_v000,H_001_v000,H_001_v000
78,H_002_v000,C_002:SP_out,C_008:ST,C_016:SP_out,C_019:SP_out,C_022:SP_out,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,P_002_v000,P_002_v001,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000,H_002_v000
79,C_001_v000,C_001:SP_,C_001_v001,C_001_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,P_001_v000,P_001_v001,TE_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000,C_001_v000
80,C_001_v001,C_001:SP_,C_001_v000,C_001_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,P_001_v000,P_001_v001,TE_001_v000,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001,C_001_v001
81,C_001_v002,C_001:SP_,C_001_v000,C_001_v001,R_005:ST,P_001_v000,P_001_v001,TE_001_v000,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002,C_001_v002
82,TE_001_v000,C_001:SP_,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,C_001_v000,C_001_v001,C_001_v002,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000
83,C_002_v000,C_002:SP_out,C_002_v001,C_002_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,TE_002_v000,P_002_v000,P_002_v001,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000,C_002_v000
84,C_002_v001,C_002:SP_out,C_002_v000,C_002_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,TE_002_v000,P_002_v000,P_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001,C_002_v001
85,C_002_v002,C_002:SP_out,C_002_v000,C_002_v001,R_006:ST,TE_002_v000,P_002_v000,P_002_v001,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002,C_002_v002
86,TE_002_v000,C_002:SP_out,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,C_002_v000,C_002_v001,C_002_v002,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000,TE_002_v000
87,C_005_v000,C_005:SP_,C_005_v001,C_005_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,TE_005_v000,P_001_v000,P_001_v001,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000,C_005_v000
88,C_005_v001,C_005:SP_,C_005_v000,C_005_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,TE_005_v000,P_001_v000,P_001_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001,C_005_v001
89,C_005_v002,C_005:SP_,C_005_v000,C_005_v001,R_005:ST,TE_005_v000,P_001_v000,P_001_v001,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002,C_005_v002
90,TE_005_v000,C_005:SP_,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,C_005_v000,C_005_v001,C_005_v002,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000,TE_005_v000
91,C_008_v000,C_008:ST,C_008_v001,C_008_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,TE_008_v000,P_002_v000,P_002_v001,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000,C_008_v000
92,C_008_v001,C_008:ST,C_008_v000,C_008_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,TE_008_v000,P_002_v000,P_002_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001,C_008_v001
93,C_008_v002,C_008:ST,C_008_v000,C_008_v001,R_006:ST,TE_008_v000,P_002_v000,P_002_v001,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002,C_008_v002
94,TE_008_v000,C_008:ST,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,C_008_v000,C_008_v001,C_008_v002,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000,TE_008_v000
95,C_014_v000,C_014:SP_out,C_014_v001,C_014_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,TE_014_v000,P_001_v000,P_001_v001,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000,C_014_v000
96,C_014_v001,C_014:SP_out,C_014_v000,C_014_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,TE_014_v000,P_001_v000,P_001_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001,C_014_v001
97,C_014_v002,C_014:SP_out,C_014_v000,C_014_v001,R_005:ST,TE_014_v000,P_001_v000,P_001_v001,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002,C_014_v002
98,TE_014_v000,C_014:SP_out,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,C_014_v000,C_014_v001,C_014_v002,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000,TE_014_v000
99,C_016_v000,C_016:SP_out,C_016_v001,C_016_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,TE_016_v000,P_002_v000,P_002_v001,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000,C_016_v000
100,C_016_v001,C_016:SP_out,C_016_v000,C_016_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,TE_016_v000,P_002_v000,P_002_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001,C_016_v001
101,C_016_v002,C_016:SP_out,C_016_v000,C_016_v001,R_006:ST,TE_016_v000,P_002_v000,P_002_v001,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002,C_016_v002
102,TE_016_v000,C_016:SP_out,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,C_016_v000,C_016_v001,C_016_v002,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000,TE_016_v000
103,C_017_v000,C_017:ST,C_017_v001,C_017_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,TE_017_v000,P_001_v000,P_001_v001,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000,C_017_v000
104,C_017_v001,C_017:ST,C_017_v000,C_017_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,TE_017_v000,P_001_v000,P_001_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001,C_017_v001
105,C_017_v002,C_017:ST,C_017_v000,C_017_v001,R_005:ST,TE_017_v000,P_001_v000,P_001_v001,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002,C_017_v002
106,TE_017_v000,C_017:ST,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,C_017_v000,C_017_v001,C_017_v002,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000,TE_017_v000
107,C_019_v000,C_019:SP_out,C_019_v001,C_019_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,TE_019_v000,P_002_v000,P_002_v001,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000,C_019_v000
108,C_019_v001,C_019:SP_out,C_019_v000,C_019_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,TE_019_v000,P_002_v000,P_002_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001,C_019_v001
109,C_019_v002,C_019:SP_out,C_019_v000,C_019_v001,R_006:ST,TE_019_v000,P_002_v000,P_002_v001,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002,C_019_v002
110,TE_019_v000,C_019:SP_out,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,C_019_v000,C_019_v001,C_019_v002,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000,TE_019_v000
111,C_021_v000,C_021:SP_out,C_021_v001,C_021_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,TE_021_v000,P_001_v000,P_001_v001,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000,C_021_v000
112,C_021_v001,C_021:SP_out,C_021_v000,C_021_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,TE_021_v000,P_001_v000,P_001_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001,C_021_v001
113,C_021_v002,C_021:SP_out,C_021_v000,C_021_v001,R_005:ST,TE_021_v000,P_001_v000,P_001_v001,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002,C_021_v002
114,TE_021_v000,C_021:SP_out,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,C_021_v000,C_021_v001,C_021_v002,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000,TE_021_v000
115,C_022_v000,C_022:SP_out,C_022_v001,C_022_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,TE_022_v000,P_002_v000,P_002_v001,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000,C_022_v000
116,C_022_v001,C_022:SP_out,C_022_v000,C_022_v002,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,TE_022_v000,P_002_v000,P_002_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001,C_022_v001
117,C_022_v002,C_022:SP_out,C_022_v000,C_022_v001,R_006:ST,TE_022_v000,P_002_v000,P_002_v001,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002,C_022_v002
118,TE_022_v000,C_022:SP_out,E_018:SNQ,E_066:SNQ,E_097:SNQ,E_109:SNQ,E_119:SNQ,R_006:ST,T_002:SNQ,T_004:SNQ,T_006:SNQ,C_022_v000,C_022_v001,C_022_v002,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000,TE_022_v000
119,C_023_v000,C_023:SP_out,C_023_v001,C_023_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,T_001:SNQ,T_003:SNQ,T_005:SNQ,T_007:SNQ,P_001_v000,P_001_v001,TE_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000,C_023_v000
120,C_023_v001,C_023:SP_out,C_023_v000,C_023_v002,E_001:SNQ,E_045:SNQ,E_082:SNQ,E_101:SNQ,E_112:SNQ,E_120:SNQ,R_005:ST,P_001_v000,P_001_v001,TE_023_v000,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001,C_023_v001
121,C_023_v002,C_023:SP_out,C_023_v000,C_023_v001,R_005:ST,P_001_v000,P_001_v001,TE_023_v000,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002,C_023_v002
